smiles,cluster_index
CC1CN2CC(=O)NC3=CC=C(Cl)C=C3C2(O1)C1=CC=CC=C1,1
CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=C(Cl)C=CC=C1,1
CN1C2=CC=C(Cl)C=C2C(=NC(O)C1=O)C1=CC=CC=C1,1
CN(C)C(=O)OC1N=C(C2=CC=CC=C2)C2=C(C=CC(Cl)=C2)N(C)C1=O,1
OC1N=C(C2=CC=CC=C2Cl)C2=CC(Cl)=CC=C2NC1=O,1
OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,1
CCOC(=O)C1N=C(C2=C(F)C=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,1
COC1=CC=C(C=C2CCCC3=C2NC(=S)NC3C2=CC=C(OC)C=C2)C=C1,1
S=C1NC(C2=C(N1)C(CCC2)=CC1=CC=CC=C1)C1=CC=CC=C1,1
CC1(C)C(C2=C(CCCC2)OC1=O)C1=CC=CC=C1,1
CC1(C)C(C2=C(OC1=O)C(CCC2)=CC1=CC=CC=C1)C1=CC=CC=C1,1
N#CC1(C#N)C2COC(C3=C2CCCC3)C1(C#N)C#N,1
N#CC1(C#N)C2O[C@@H]([C@@H](C3=C2CCCC3)C1(C#N)C#N)C1=CC=CC=C1,1
COC1=CC=C(C=C2C3=C(CCCC3)OC3=C2CCCC3)C=C1,1
CN(C)C1=CC=C(C=C2C3=C(CCCC3)OC3=C2CCCC3)C=C1,1
COC1=CC=C(C=C1)C1C2=C(CCCC2)OC2=C1CCCC2,1
O=CC1=C(CCCC1)SC1=CC=CC=C1,1
O=CC1=C(CCCC1)SC1=NC2=C(O1)C=CC=C2,1
ON=CC1=C(CCC1)C=CC1=CC=CC=C1,1
ON=CC1=C(CCC1)C#CC1=CC=CC=C1,1
CNC1(CCCCC1=O)C1=C(Cl)C=CC=C1,1
CNC1(CCCC(=CC2=CC=CS2)C1=O)C1=C(Cl)C=CC=C1,1
CC1=CP(=O)(CC1)C1=CC=CC=C1,1
CC1=C(Cl)CCP(=O)(C1)C1=CC=CC=C1,1
O=C1C(CCCC1=CC1=CC=CC=C1)=C/C1=CC=CC=C1,1
O=C1CCCCC1=CC1=CC=CC=C1,1
O=C1C(CC2=CC=CC=C12)=CC1=CC=CC=C1,1
FC1=CC=CC=C1C=C1/CCCCCCC1=O,1
FC1=CC=C(C=C2CCCC(=CC3=CC=C(F)C=C3)C2=O)C=C1,1
FC1=CC=C(C=C2CC(=O)NC2=O)C=C1,1
CC1=CC=C(S1)C=C1CCCC(=C/C2=CC=C(C)S2)C1=O,1
CC1CC(=C/C2=CC=CC=C2)C(=O)C(C1)=CC1=CC=CC=C1,1
CC1CC(=C/C2=CC=C(C=C2)[N+]([O-])=O)C(=O)C(C1)=CC1=CC=C(C=C1)[N+]([O-])=O,1
COC1=CC=C2C(CCC(=C/C3=CC=CC=C3)C2=O)=C1,1
COC1=CC(C)=C2C(CCC(=C/C3=CC=CC=C3)C2=O)=C1,1
ClC1=CC=C(C=C2C(=O)NC(=O)NC2=O)C=C1,1
CN(C)C1=CC=C(C=C2C(=O)NC(=O)NC2=O)C=C1,1
O=C1NC(=O)C(=CC2=CC(C=C3C(=O)NC(=O)NC3=O)=CC=C2)C(=O)N1,1
O=C1NC(=O)C(N1)=CC1=CC=CC=C1,1
COC1=CC(C=C2N(C)C(=N)NC2=O)=CC=C1O,1
COC1=CC=C(C=C2N(C)C(=N)NC2=O)C=C1OC,1
COC1=CC=C(C=C2C(=O)NC(=O)NC2=O)C=C1OC,1
COC1=CC=C(C=C2C(=O)OC(C)(C)OC2=O)C=C1OC,1
O=C1NC(SC1=C/C1=CC=CC=C1)=N/N=CC1=CC=CC=C1,1
COC1=CC=C(C=N/N=C2NC(=O)C(S2)=CC2=CC=CC=C2)C=C1,1
COC1=CC=C(C=C2/SC(NC2=O)=N/N=C/C(C)C)C=C1,1
CN(C)C1=CC=C(C=C2SC(=S)NC2=O)C=C1,1
CCN(CC)C1=CC=C(C=C2SC(=S)NC2=O)C=C1,1
